"city1","city2","duration_trajet"
"Sacramento","Miami",43.7711111111111
"Detroit","Miami",19.9538888888889
"Vancover","Miami",49.4872222222222
"New Jersey","Miami",18.0919444444444
"Portland","Miami",46.4966666666667
"New York","Miami",18.5377777777778
"Orlando","Miami",3.42138888888889
"Miami","Miami",0
"Oklahoma","Milwaukee",13.0130555555556
"Los Angeles","Milwaukee",29.06
"Charlotte","Milwaukee",12.8869444444444
"Denver","Milwaukee",14.8333333333333
"Miami","Milwaukee",21.1311111111111
"Brooklyn","Milwaukee",13.64
"Toronto","Milwaukee",9.22111111111111
"Washington D.C","Milwaukee",12.0233333333333
"Indiana","Milwaukee",4.12583333333333
"Utah","Milwaukee",22.3847222222222
"New Orleans","Milwaukee",14.5855555555556
"Cleveland","Milwaukee",6.66388888888889
"Dallas","Milwaukee",15.0288888888889
"Detroit","Milwaukee",5.66194444444444
"Houston","Milwaukee",17.4005555555556
"Philadelphie","Milwaukee",12.7852777777778
"Minnesota","Milwaukee",7.39833333333333
"Memphis","Milwaukee",8.99361111111111
"Atlanta","Milwaukee",11.9436111111111
"Portland","Milwaukee",29.4383333333333
"Vancover","Milwaukee",30.6133333333333
"Boston","Milwaukee",16.0547222222222
"Milwaukee","Milwaukee",0
"San Antonio","Milwaukee",19.02
"New Jersey","Milwaukee",13.6633333333333
"Seattle","Milwaukee",28.2613888888889
"Chicago","Milwaukee",1.49472222222222
"Phoenix","Milwaukee",26.5022222222222
"Golden State","Milwaukee",31.17
"Sacramento","Milwaukee",29.7444444444444
"Orlando","Milwaukee",18.0119444444444
"New York","Milwaukee",13.3755555555556
"Los Angeles","Minnesota",27.7241666666667
"Milwaukee","Minnesota",7.37222222222222
"Charlotte","Minnesota",19.8952777777778
"Denver","Minnesota",14.4513888888889
"Atlanta","Minnesota",18.5544444444444
"New Orleans","Minnesota",20.235
"Detroit","Minnesota",12.6702777777778
"Toronto","Minnesota",16.2294444444444
"Cleveland","Minnesota",13.6627777777778
"Sacramento","Minnesota",26.4666666666667
"Minnesota","Minnesota",0
"Seattle","Minnesota",22.2055555555556
"Portland","Minnesota",23.3825
"Brooklyn","Minnesota",20.6388888888889
"Oklahoma","Minnesota",14.4930555555556
"Dallas","Minnesota",16.5263888888889
"Washington D.C","Minnesota",19.0222222222222
"Memphis","Minnesota",14.6427777777778
"Miami","Minnesota",27.7419444444444
"Indiana","Minnesota",11.1338888888889
"New York","Minnesota",20.3744444444444
"Vancover","Minnesota",24.5575
"Boston","Minnesota",23.0536111111111
"Chicago","Minnesota",8.56916666666667
